bill_type,bill_year,bill_congress,rouge_l,rouge_1,rouge_2,rouge_3,bleu_score
hr,113,977,0.165577342,0.178649237,0.157549234,0.10989011,0.809106712
hr,113,978,0.37244898,0.540816327,0.446337308,0.329351536,0.456771762
hr,113,979,0.48395967,0.801099908,0.620752984,0.423183073,0.502920441
hr,113,97,0.428227747,0.683239775,0.573493976,0.45695897,0.448167293
hr,113,981,0.478952292,0.883068288,0.702905342,0.523943662,0.49933259
hr,113,982,0.410891089,0.637376238,0.565055762,0.437965261,0.433302514
hr,113,983,0.236342321,0.277608441,0.26131832,0.227646092,0.312606869
hr,113,984,0.444444444,0.912037037,0.689095128,0.462790698,0.513460109
hr,113,985,0.345374449,0.422907489,0.40070609,0.348364279,0.424746759
hr,113,986,0.351648352,0.531135531,0.423853211,0.290441176,0.46530243
hr,113,987,0.35,0.63,0.428093645,0.275167785,0.619112838
hr,113,988,0.465201465,0.703296703,0.551470588,0.472324723,0.656654859
hr,113,989,0.461538462,0.617521368,0.505353319,0.360515021,0.495773418
hr,113,98,0.265014299,0.337464252,0.273161414,0.183732057,0.44798355
hr,113,990,0.265441176,0.328676471,0.304635762,0.219440353,0.34188638
hr,113,991,0.520689655,0.810344828,0.718480138,0.607266436,0.497610665
hr,113,992,0.147646461,0.160514731,0.142324636,0.122753476,0.346645052
hr,113,993,0.430538173,0.708385482,0.597239649,0.445283019,0.500735116
hr,113,994,0.44021164,0.53968254,0.479321315,0.39957492,0.453935683
hr,113,995,0.29789864,0.367119901,0.331683168,0.257744734,0.409873422
hr,113,996,0.232167832,0.27039627,0.254197761,0.219318712,0.32227756
hr,113,997,0.585170341,0.634602538,0.603344482,0.550569324,0.4394428
hr,113,998,0.431428571,0.677142857,0.521489971,0.316091954,0.527565133
hr,113,999,0.464088398,0.674033149,0.611857708,0.486144101,0.442055186
hr,113,99,0.460980036,0.58076225,0.503636364,0.408014572,0.454487747
s,111,3405,0.369327074,0.556077204,0.498172324,0.363826451,0.409073114
s,111,3406,0.646616541,0.872180451,0.701886792,0.602272727,0.553687339
s,111,3407,0.328306265,0.445475638,0.415795587,0.306976744,0.402238984
s,111,3408,0.331360947,0.384615385,0.358714044,0.310753599,0.37675626
s,111,3409,0.398796087,0.45297216,0.435568953,0.386415094,0.417124246
s,111,3411,0.363238512,0.520787746,0.449963477,0.33796635,0.438581624
s,111,3413,0.563039724,0.85492228,0.692041522,0.563258232,0.511862413
s,111,3414,0.337899543,0.430136986,0.393053016,0.348581885,0.393329594
s,111,3415,0.276531637,0.376297288,0.330318258,0.249413342,0.360779725
s,111,3416,0.323249784,0.475367329,0.406926407,0.307025152,0.456232231
s,111,3417,0.350137489,0.542621448,0.466483012,0.321987121,0.44102379
s,111,3418,0.314505777,0.354300385,0.332904884,0.294723295,0.387893245
s,111,3419,0.491666667,0.836111111,0.643454039,0.458100559,0.510879512
s,111,3420,0.168462292,0.205027751,0.173146031,0.136645963,0.358018213
s,111,3422,0.666666667,0.901149425,0.813364055,0.734411085,0.507569719
s,111,3423,0.389839295,0.585795749,0.504411002,0.313766234,0.426401433
s,111,3424,0.319520174,0.401308615,0.365720524,0.307103825,0.387872602
s,111,3425,0.378194208,0.594548552,0.535836177,0.405128205,0.44419078
s,111,3426,0.506666667,0.848484848,0.653705954,0.521315469,0.555523807
s,111,3427,0.270013569,0.291723202,0.279891304,0.240816327,0.408410455
s,111,3428,0.554455446,0.636963696,0.562913907,0.488372093,0.653821306
s,111,3429,0.693877551,0.887755102,0.789366053,0.729508197,0.507649961
s,111,3431,0.383406662,0.516656191,0.475770925,0.407057341,0.406322124
s,111,3432,0.491428571,0.870204082,0.672117743,0.47010647,0.509170818
s,111,3433,0.311934901,0.432188065,0.385520362,0.308876812,0.404220317
s,111,3434,0.243542435,0.287151962,0.273917422,0.219684246,0.342481987
s,111,3435,0.514619883,0.81871345,0.563600783,0.408644401,0.595770597
s,111,3436,0.557037037,0.651851852,0.608308605,0.55423477,0.455336886
s,111,3437,0.395537525,0.470588235,0.45177665,0.385162602,0.36926085
s,111,3438,0.478359909,0.712984055,0.575342466,0.443935927,0.489942207
s,111,3439,0.509463722,0.627760252,0.518167457,0.414556962,0.46516272
s,111,3440,0.413934426,0.795081967,0.514403292,0.367768595,0.61021692
s,111,3443,0.517123288,0.77739726,0.60137457,0.45862069,0.601928336
s,111,3444,0.574595055,0.750213129,0.647309991,0.52352438,0.484288987
s,111,3446,0.326108374,0.431527094,0.376725838,0.293188549,0.385791575
s,111,3448,0.408203125,0.744140625,0.547945205,0.364705882,0.498065728
s,111,3449,0.591071429,0.858928571,0.742397138,0.652329749,0.508389705
s,111,3451,0.837535014,0.93557423,0.848314607,0.805633803,0.541707437
